strategy_id,symbol,exchange,instrument_id,position_type,open_datetime,close_datetime,entry_price,exit_price,quantity,realized_pnl,fees,duration_seconds,return_pct,order_ids
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2020-01-03 15:00:00+00:00,2020-01-03 17:00:00+00:00,132.45,133.93,0.0,-119.784676,8.044675999999999,7200.0,-1.1174027935070052,"BINANCE-1-001,BINANCE-1-002"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2020-01-05 22:00:00+00:00,2020-01-06 02:00:00+00:00,134.97,139.03,0.0,-307.0785312,8.0717112,14400.0,-3.0080758687115683,"BINANCE-1-003,BINANCE-1-004"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2020-01-06 14:00:00+00:00,2020-01-06 21:00:00+00:00,140.99,141.61,0.0,-50.88250552,7.84644552,25200.0,-0.4397474998226958,"BINANCE-1-005,BINANCE-1-006"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2020-01-11 18:00:00+00:00,2020-01-11 22:00:00+00:00,146.59,143.31,0.0,-226.13018448,7.72154448,14400.0,-2.2375332560201966,"BINANCE-1-007,BINANCE-1-008"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2020-01-14 13:00:00+00:00,2020-01-14 14:00:00+00:00,154.1,155.96,0.0,-124.21775862,7.76501862,3600.0,-1.2070084360804811,"BINANCE-1-009,BINANCE-1-010"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2020-01-14 15:00:00+00:00,2020-01-14 16:00:00+00:00,156.08,159.55,0.0,205.36297092,7.75401908,3600.0,2.2232188621219784,"BINANCE-1-011,BINANCE-1-012"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2020-01-14 19:00:00+00:00,2020-01-15 00:00:00+00:00,165.63,169.25,0.0,-219.59117619,7.83565619,18000.0,-2.18559439715027,"BINANCE-1-013,BINANCE-1-014"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2020-01-17 07:00:00+00:00,2020-01-17 08:00:00+00:00,171.23,171.8,0.0,-39.56214649,7.6757764900000005,3600.0,-0.33288559247797167,"BINANCE-1-015,BINANCE-1-016"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,SHORT,2020-01-18 17:00:00+00:00,2020-01-18 22:00:00+00:00,175.01,177.18,0.0,-126.22004712,7.69464712,18000.0,-1.2399291469058937,"BINANCE-1-017,BINANCE-1-018"
ToTheMoon-Trainset,ETHUSDT,BINANCE,ETHUSDT-PERP.BINANCE,LONG,2020-01-21 22:00:00+00:00,2020-01-22 09:00:00+00:00,169.42,169.11,0.0,-24.9653426,7.589842600000001,39600.0,-0.18297721638529385,"BINANCE-1-019,BINANCE-1-020"
