trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250327-140000-001-001-35,O-20250330-190000-001-001-36,SELL,FLAT,0.000,5.042,1743084000000000000,2025-03-27 14:00:00+00:00,1743361200000000000,2025-03-30 19:00:00+00:00,277200000000000,2024.81,1813.38,['7.74086159 USDT'],0.10442,1058.28919841 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250401-090000-001-001-37,O-20250401-120000-001-001-38,BUY,FLAT,0.000,5.698,1743498000000000000,2025-04-01 09:00:00+00:00,1743508800000000000,2025-04-01 12:00:00+00:00,10800000000000,1884.49,1864.85,['8.54549573 USDT'],-0.01042,-120.45421573 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250401-160000-001-001-39,O-20250402-010000-001-001-40,BUY,FLAT,0.000,5.576,1743523200000000000,2025-04-01 16:00:00+00:00,1743555600000000000,2025-04-02 01:00:00+00:00,32400000000000,1915.01,1891.71,['8.49050828 USDT'],-0.01217,-138.41130828 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250402-230000-001-001-41,O-20250403-010000-001-001-42,SELL,FLAT,0.000,5.913,1743634800000000000,2025-04-02 23:00:00+00:00,1743642000000000000,2025-04-03 01:00:00+00:00,7200000000000,1794.1,1825.37,['8.56077044 USDT'],-0.01743,-193.46028044 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250403-150000-001-001-43,O-20250404-110000-001-001-44,BUY,FLAT,0.000,5.901,1743692400000000000,2025-04-03 15:00:00+00:00,1743764400000000000,2025-04-04 11:00:00+00:00,72000000000000,1781.42,1783.16,['8.41383463 USDT'],0.00098,1.85390537 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250414-140000-001-001-45,O-20250414-150000-001-001-46,SELL,FLAT,0.000,6.286,1744639200000000000,2025-04-14 14:00:00+00:00,1744642800000000000,2025-04-14 15:00:00+00:00,3600000000000,1672.63,1626.96,['8.29648909 USDT'],0.0273,278.78513091 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250416-180000-001-001-47,O-20250416-190000-001-001-48,SELL,FLAT,0.000,6.804,1744826400000000000,2025-04-16 18:00:00+00:00,1744830000000000000,2025-04-16 19:00:00+00:00,3600000000000,1565.59,1588.16,['8.58324600 USDT'],-0.01442,-162.14952600 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250425-130000-001-001-49,O-20250425-150000-001-001-50,SELL,FLAT,0.000,5.979,1745586000000000000,2025-04-25 13:00:00+00:00,1745593200000000000,2025-04-25 15:00:00+00:00,7200000000000,1768.11,1805.7,['8.54712400 USDT'],-0.02126,-233.29773400 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250427-020000-001-001-51,O-20250428-200000-001-001-52,SELL,FLAT,0.000,5.770,1745719200000000000,2025-04-27 02:00:00+00:00,1745870400000000000,2025-04-28 20:00:00+00:00,151200000000000,1812.02,1785.11,['8.30217604 USDT'],0.01485,146.96852396 USDT,True
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250429-140000-001-001-53,O-20250501-110000-001-001-54,SELL,FLAT,0.000,5.777,1745935200000000000,2025-04-29 14:00:00+00:00,1746097200000000000,2025-05-01 11:00:00+00:00,162000000000000,1822.43,1844.79,['8.47421197 USDT'],-0.01227,-137.64793197 USDT,True
