trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-188,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-022ddc23a4008ff2-45607,MARKET,BUY,5.916,IOC,False,False,5.916,TAKER,2332.89,0.0,['5.52055090 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,60b0bcbb-4817-4492-baf8-e528ecb65843,2026-04-20 18:00:00+00:00,2026-04-20 18:00:00+00:00
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-189,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-7206bac8f7475032-45716,MARKET,BUY,5.892,IOC,False,False,5.892,TAKER,2311.25,0.0,['5.44715400 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d28b2b11-b212-43a3-90d2-add90f9dfd00,2026-04-21 21:00:00+00:00,2026-04-21 21:00:00+00:00
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-190,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-654a22ce30ef3d61-46271,MARKET,SELL,5.892,IOC,False,False,5.892,TAKER,2276.49,0.0,['5.36523163 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,157f10c5-82fc-4dd8-a6a6-4b44e82750a8,2026-04-27 16:00:00+00:00,2026-04-27 16:00:00+00:00
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-191,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-b93d271c58e55dcc-46831,MARKET,BUY,5.812,IOC,False,False,5.812,TAKER,2324.58,0.0,['5.40418358 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,197f4eaf-ab1a-489c-932c-4a22ea794863,2026-05-03 12:00:00+00:00,2026-05-03 12:00:00+00:00
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-192,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-5905a9372cf3a319-47126,MARKET,SELL,5.812,IOC,False,False,5.812,TAKER,2358.19,0.0,['5.48232011 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f5c0bb2b-5dfc-4c91-9be1-f314651de997,2026-05-06 14:00:00+00:00,2026-05-06 14:00:00+00:00
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-193,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-aa9861c40c484fd0-47519,MARKET,BUY,5.791,IOC,False,False,5.791,TAKER,2348.94,0.0,['5.44108462 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a593bd8c-7fd4-410a-a0ac-f0866b639105,2026-05-10 16:00:00+00:00,2026-05-10 16:00:00+00:00
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-194,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-d4fea138727a90bb-47540,MARKET,SELL,5.791,IOC,False,False,5.791,TAKER,2329.63,0.0,['5.39635493 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5c8ae264-6b75-4fc0-8fa0-cf09fabb148c,2026-05-10 21:00:00+00:00,2026-05-10 21:00:00+00:00
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-195,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-71ca2693d183c957-47549,MARKET,BUY,5.713,IOC,False,False,5.713,TAKER,2370.21,0.0,['5.41640389 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b77d42f8-70a0-44f9-b2a7-50c96a048abe,2026-05-10 23:00:00+00:00,2026-05-10 23:00:00+00:00
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-196,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-338f82cb01171e28-47558,MARKET,SELL,5.713,IOC,False,False,5.713,TAKER,2357.69,0.0,['5.38779319 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,57294f0e-5708-4ad7-b87b-7c6e2dd875e9,2026-05-11 01:00:00+00:00,2026-05-11 01:00:00+00:00
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-197,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-198ee26fbaafd268-47915,MARKET,SELL,5.848,IOC,False,False,5.848,TAKER,2308.49,0.0,['5.40001981 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d2273047-3c3a-416c-a9c4-1cffc8b31355,2026-05-14 18:00:00+00:00,2026-05-14 18:00:00+00:00
