trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-014,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-913dcac86a031fd0-1344,MARKET,BUY,58.496,IOC,False,False,58.496,TAKER,169.25,0.0,['3.96017920 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,eb009f64-befd-448f-b8bc-9188bbcbb884,1579046400000000000,1579046400000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-015,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-70418276bb8290d6-1563,MARKET,SELL,55.941,IOC,False,False,55.941,TAKER,171.23,0.0,['3.83151097 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,be0b9765-8fb8-464b-ac3a-4c9340517313,1579244400000000000,1579244400000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-016,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-d507caa590937499-1568,MARKET,BUY,55.941,IOC,False,False,55.941,TAKER,171.8,0.0,['3.84426552 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ca61886a-7dbd-41cf-b009-2204c8bfe5d6,1579248000000000000,1579248000000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-017,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-6fabce6006f3cb38-1700,MARKET,SELL,54.620,IOC,False,False,54.620,TAKER,175.01,0.0,['3.82361848 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b4cf5272-7d5a-4a93-8875-a752b5302b97,1579366800000000000,1579366800000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-018,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-7f564d6a13c5f6b6-1721,MARKET,BUY,54.620,IOC,False,False,54.620,TAKER,177.18,0.0,['3.87102864 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2261e263-f266-4069-a95d-2a7e4246c974,1579384800000000000,1579384800000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-019,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-a2fddcc562935d57-2008,MARKET,BUY,56.050,IOC,False,False,56.050,TAKER,169.42,0.0,['3.79839640 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e964968d-61ec-47d5-8edc-be5cb7bf72ba,1579644000000000000,1579644000000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-020,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-99a33e841142eb5e-2053,MARKET,SELL,56.050,IOC,False,False,56.050,TAKER,169.11,0.0,['3.79144620 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1927258c-515d-4057-aef0-bbdcfc10bcd2,1579683600000000000,1579683600000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-021,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-f9ecced698065acc-2220,MARKET,SELL,59.592,IOC,False,False,59.592,TAKER,159.14,0.0,['3.79338835 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,66f0cf65-0f74-4f5a-bb36-4b1eae863ef5,1579834800000000000,1579834800000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-022,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-dfd81af6456f774c-2256,MARKET,BUY,59.592,IOC,False,False,59.592,TAKER,161.49,0.0,['3.84940483 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,26453017-1eda-45f1-94cf-f6f9c5874670,1579867200000000000,1579867200000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-023,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-da3fecaf982dd094-2261,MARKET,BUY,58.152,IOC,False,False,58.152,TAKER,161.81,0.0,['3.76383005 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1e797f8a-1f30-4e79-a23a-8874bbbbf539,1579870800000000000,1579870800000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-024,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-65ad423705b3638e-2309,MARKET,SELL,58.152,IOC,False,False,58.152,TAKER,158.74,0.0,['3.69241939 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a0899cfa-8d4d-4c1f-919f-b4e3a8e516be,1579914000000000000,1579914000000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-025,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-417b7c9625eb1a50-2500,MARKET,SELL,55.344,IOC,False,False,55.344,TAKER,168.34,0.0,['3.72664358 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a7ab0d9b-c686-4f1b-851f-bd3f608e033b,1580086800000000000,1580086800000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-026,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-702c6fec5770f053-2548,MARKET,BUY,55.344,IOC,False,False,55.344,TAKER,169.25,0.0,['3.74678880 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,cb46295a-8a55-4036-9ba7-11028608a35d,1580130000000000000,1580130000000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-027,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-0dbc587c706dce3c-2849,MARKET,SELL,51.653,IOC,False,False,51.653,TAKER,179.81,0.0,['3.71509037 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7291136b-bcf3-4916-bfd2-5dad104e00b0,1580403600000000000,1580403600000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-028,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-c5ff5690ce8e954d-2854,MARKET,BUY,51.653,IOC,False,False,51.653,TAKER,181.32,0.0,['3.74628878 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e3e522c6-0d16-44cb-a37b-52cd0668566a,1580407200000000000,1580407200000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-029,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-b3cd9ab43f6bdfd8-3097,MARKET,BUY,49.349,IOC,False,False,49.349,TAKER,187.34,0.0,['3.69801666 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,807dc85d-c9bd-48d7-8caf-058e9bda7270,1580626800000000000,1580626800000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-030,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-dbf583c3b18bd5e9-5121,MARKET,SELL,49.349,IOC,False,False,49.349,TAKER,268.51,0.0,['5.30028000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3404b41d-5622-4636-8921-487ccec6f8b8,1582455600000000000,1582455600000000000
BACKTESTER-001,QuantBT-001-001,ETHUSDT-PERP.BINANCE,BINANCE-1-031,ETHUSDT-PERP.BINANCE-QuantBT-001-001,BINANCE-001,T-583822cd53d26557-5317,MARKET,BUY,42.995,IOC,False,False,42.995,TAKER,261.5,0.0,['4.49727700 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,aa0e1de9-2936-44cd-b33d-149ec8b56743,1582632000000000000,1582632000000000000
