total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
23413.57116040,409.81567060,23003.75548980,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '409.81567060', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23282.50341930,0.00000000,23282.50341930,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23277.84694502,407.44149950,22870.40544552,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '407.44149950', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23448.54355144,0.00000000,23448.54355144,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23443.85384195,410.34958020,23033.50426175,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '410.34958020', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23435.38148613,0.00000000,23435.38148613,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23430.69441069,410.11910100,23020.57530969,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '410.11910100', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
22876.36975826,0.00000000,22876.36975826,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
22871.79449718,400.33534450,22471.45915268,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '400.33534450', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
22041.45536262,0.00000000,22041.45536262,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
22037.04706707,385.72586080,21651.32120627,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '385.72586080', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
22108.59497688,0.00000000,22108.59497688,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
22104.17326952,386.89939400,21717.27387552,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '386.89939400', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
22878.11082387,0.00000000,22878.11082387,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
22873.53522123,400.36523100,22473.16999023,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '400.36523100', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
22324.30676456,0.00000000,22324.30676456,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
22319.84190488,390.67522165,21929.16668323,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '390.67522165', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
22255.75908193,0.00000000,22255.75908193,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
22251.30791787,389.47685525,21861.83106262,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '389.47685525', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
22065.92063722,0.00000000,22065.92063722,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
22061.50745045,386.15384220,21675.35360825,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '386.15384220', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21984.37526771,0.00000000,21984.37526771,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21979.97840519,384.72547050,21595.25293469,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '384.72547050', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
22097.98584481,0.00000000,22097.98584481,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
22093.56628225,386.71172400,21706.85455825,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '386.71172400', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
21780.95181102,0.00000000,21780.95181102,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
21776.59559538,381.16886850,21395.42672688,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '381.16886850', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
